Title,Year,Genre,Director,Duration,IMDB,ID
02;13,2010,Drama|Mystery|Thriller,Charles Adelman,96,4.9,1
3 Days To Kill,2014,Action|Drama|Thriller,McG,117,6.2,2
4.3.2.1,2010,Crime|Thriller,Noel Clarke,117,5.8,3
5 Senses Of Fear,2013,Horror,Eric England,88,5.0,4
6 Ways To Sundown,2015,Crime|Thriller,Nadeem Soumah,103,4.0,5
7 Minutes,2014,Crime|Drama|Thriller,Jay Martin,92,5.0,6
8 Legs,2001,Action|Adventure|Horror,Jack Sholder,95,3.9,7
10 Orsaker Att Hata Dig,1999,Comedy|Drama|Romance,Gil Junger,97,7.3,8
12 Apornas Planet,1995,Mystery|Sci-Fi|Thriller,Terry Gilliam,129,8.0,9
12 Years A Slave,2013,Biography|Drama|History,Steve McQueen,134,8.1,10
13 Snart 30,2004,Comedy|Fantasy|Romance,Gary Winick,98,6.2,11
16 Blocks,2006,Action|Crime|Drama,Richard Donner,102,6.6,12
2 1,2008,Crime|Drama|History,Robert Luketic,123,6.8,13
21 And Over,2013,Comedy,Jon Lucas,93,5.8,14
21 Jump Street,2012,Action|Comedy|Crime,Phil Lord,109,7.2,15
22 Jump Street,2014,Action|Comedy|Crime,Phil Lord,112,7.0,16
22 Bullets,2010,Action|Crime|Drama,Richard Berry,117,6.7,17
30 Days Of Night,2007,Action|Horror|Thriller,David Slade,113,6.6,18
30 Minutes Or Less,2011,Action|Comedy|Crime,Ruben Fleischer,83,6.1,19
50/50,2011,Comedy|Drama|Romance,Jonathan Levine,100,7.6,20
51st State,2001,Action|Comedy|Crime,Ronny Yu,88,6.3,21
5 4,1998,Drama|Music,Mark Christopher,93,5.9,22
88 Minutes,2007,Crime|Drama|Mystery,Jon Avnet,108,5.9,23
100 Feet,2008,Horror|Mystery|Thriller,Eric Red,96,5.5,24
3 0 0,2006,Action|Drama,Zack Snyder,117,7.6,25
1 4 0 8,2007,Fantasy|Horror|Mystery,Mikael Håfström,104,6.8,26
2 0 1 2,2009,Action|Adventure|Sci-Fi,Roland Emmerich,158,5.8,27
10 000 BC     ,2008,Action|Adventure|Drama,Roland Emmerich,109,5.1,28
A Beautiful Mind    ,2001,Biography|Drama,Ron Howard,135,8.2,29
A Film With Me In It,2008,Comedy|Thriller,Ian Fitzgibbon,89,6.7,30
A Guy Thing,2003,Comedy|Romance,Chris Koch,101,5.6,31
A Horrible Way To Die,2010,Drama|Horror|Thriller,Adam Wingard,87,5.2,32
A Killer Upstairs,2005,Mystery|Thriller,Douglas Jackson,95,4.5,33
A Little Trip To Heaven    ,2005,Drama|Thriller,Baltasar Kormakur,98,6.0,34
A Long Way Down,2014,Comedy|Drama,Pascal Chaumeil,96,6.4,35
A Million Ways To Die In The West,2014,Comedy|Western,Seth MacFarlane,116,6.1,36
A Most Wanted Man,2014,Crime|Drama|Thriller,Anton Corbijn,122,6.8,37
A Night At The Roxbury  ,1998,Comedy|Music|Romance,John Fortenberry,82,6.3,38
A Nightmare On Elm Street,1984,Horror,Wes Craven,91,7.5,39
A Resurrection,2013,Horror|Thriller,Matt Orlando,89,3.9,40
Abduction,2011,Action|Mystery|Thriller,John Singleton,106,5.1,41
Absolutely Anything,2015,Comedy|Sci-Fi,Terry Jones,85,6.0,42
Adjustment Bureau,2011,Romance|Sci-Fi|Thriller,George Nolfi,106,7.0,43
Adult Beginners,2014,Comedy|Drama,Ross Katz,92,5.6,44
Adult World,2013,Comedy|Drama,Scott Coffey,97,6.1,45
Afflicted,2013,Horror|Mystery|Thriller,Derek Lee,85,6.3,46
Aggression Scale,2012,Action|Crime|Thriller,Steven C. Miller,85,5.9,47
Almost Friends,2013,Comedy|Drama,Phil Morrison,107,5.6,48
Along Came A Spider,2001,Drama|Thriller,Lee Tamahori,104,6.4,49
Alot Like Love,2005,Comedy|Drama|Romance,Nigel Cole,107,6.6,50
Alpha Dog,2006,Biography|Crime|Drama,Nick Cassavetes,122,6.9,51
American Beauty     ,1999,Drama,Sam Mendes,122,8.3,52
American Burger,2014,Comedy|Horror,John Bromander,78,4.4,53
American Cousins,2003,Crime|Drama,Don Coutts,115,6.2,54
American Dreamz     ,2006,Comedy|Music,Paul Weitz,107,5.4,55
American Gangster    ,2007,Biography|Crime|Drama,Ridley Scott,157,7.8,56
American History X   ,1998,Drama,Tony Kaye,119,8.5,57
American Hustle     ,2013,Crime|Drama,David O. Russell,138,7.2,58
American Pie     ,1999,Comedy,Paul Weitz,95,7.0,59
American Pie 2    ,2001,Comedy,J.B Rogers,108,6.4,60
American Pie The Wedding   ,2003,Comedy,Jesse Dylan,96,6.3,61
American Pie Band Camp   ,2005,Comedy,Steve Rash,87,5.1,62
